"","vote2019","metroMayorVote","metroMayorVote_2","n","pct","moe"
"1","Conservative","Conservative","Conservative",1357.60358482642,0.166418413156469,0.00808248702894209
"2","Conservative","Did Not Vote","Did Not Vote",563.214207510426,0.0690401938597172,0.00550157120332336
"3","Conservative","Green Party","Conservative",11.2190251484439,0.00137525591655333,0.000804198380254042
"4","Conservative","Green Party","Labour",4.76347876093625,0.000583919035983474,0.000524227446279746
"5","Conservative","Green Party","Wasted",24.4875969451696,0.00300175034242514,0.00118714769595234
"6","Conservative","Labour","Labour",169.117449338838,0.0207308362106582,0.00309193048623555
"7","Conservative","Liberal Democrat","Conservative",23.8991524268288,0.00292961735451365,0.00117283962233813
"8","Conservative","Liberal Democrat","Labour",13.1195147754926,0.00160822264667155,0.000869548591818927
"9","Conservative","Liberal Democrat","Wasted",16.4159609792938,0.00201230919478007,0.000972478973026234
"10","Conservative","Other","Conservative",93.4283973478148,0.0114526845716626,0.0023089931893958
"11","Conservative","Other","Labour",3.28219304267474,0.000402339360281647,0.000435190240780595
"12","Conservative","Other","Wasted",67.242250035049,0.00824272171418442,0.00196204194966893
"13","Did Not Vote","Conservative","Conservative",92.9529204875148,0.0113943994393396,0.00230317811288647
"14","Did Not Vote","Did Not Vote","Did Not Vote",1356.772811659,0.166316574921979,0.00808050719876242
"15","Did Not Vote","Green Party","Labour",23.910941079448,0.00293106243677776,0.00117312799783238
"16","Did Not Vote","Green Party","Wasted",18.9086650137487,0.00231787103515761,0.00104354456927873
"17","Did Not Vote","Labour","Labour",149.809194260385,0.0183639824347179,0.00291359342490183
"18","Did Not Vote","Liberal Democrat","Labour",12.4831677627153,0.00153021765223364,0.000848231386593711
"19","Did Not Vote","Liberal Democrat","Wasted",9.57110085221842,0.00117324927083952,0.000742866032434413
"20","Did Not Vote","Other","Conservative",5.53969907002911,0.000679070045853247,0.000565301386036376
"21","Did Not Vote","Other","Labour",15.0810733773987,0.00184867536312808,0.000932177877650857
"22","Did Not Vote","Other","Wasted",27.0960571899092,0.00332150186603857,0.00124857624099106
"23","Green Party","Conservative","Conservative",13.8140247260571,0.00169335739821914,0.000892229476301647
"24","Green Party","Did Not Vote","Did Not Vote",41.2258691812909,0.00505356925013113,0.00153875412951088
"25","Green Party","Green Party","Conservative",2.86348609379742,0.000351013224443062,0.000406495531706395
"26","Green Party","Green Party","Labour",36.4143237309638,0.00446375808019669,0.00144660224158473
"27","Green Party","Green Party","Wasted",24.0428899006725,0.00294723705040686,0.00117635086547502
"28","Green Party","Labour","Labour",35.096011231697,0.00430215606571736,0.00142029034707058
"29","Green Party","Liberal Democrat","Labour",5.00114332874835,0.000613052547916462,0.000537138100453734
"30","Green Party","Liberal Democrat","Wasted",5.00054010539356,0.00061297860330214,0.000537105725329784
"31","Green Party","Other","Conservative",0.775108338650119,9.5014701776139e-05,0.000211516885588201
"32","Green Party","Other","Labour",0.972817771628318,0.000119250414225664,0.000236959608309144
"33","Green Party","Other","Wasted",14.5032693330091,0.00177784671089303,0.000914178556091795
"34","Labour","Conservative","Conservative",133.186031043317,0.0163262738759421,0.00275004212369764
"35","Labour","Did Not Vote","Did Not Vote",694.431681354379,0.0851251571137757,0.00605591927813924
"36","Labour","Green Party","Conservative",7.1954095142754,0.000882031136894627,0.000644199843162537
"37","Labour","Green Party","Labour",200.393344640883,0.0245647129950065,0.00335911869514578
"38","Labour","Green Party","Wasted",72.872319049986,0.00893286953192683,0.00204181929445861
"39","Labour","Labour","Labour",1547.5070298997,0.189697248256247,0.00850794049989253
"40","Labour","Liberal Democrat","Conservative",3.00019199607357,0.000367770972861079,0.000416082184376778
"41","Labour","Liberal Democrat","Labour",27.5227657567272,0.00337380886004169,0.00125833610222333
"42","Labour","Liberal Democrat","Wasted",25.4830453812692,0.00312377487960694,0.00121096266839118
"43","Labour","Other","Labour",58.3541198697147,0.00715319268334277,0.00182877954397517
"44","Labour","Other","Wasted",64.504611827767,0.00790713523566858,0.00192201165983478
"45","Liberal Democrat","Conservative","Conservative",82.6812056771316,0.010135267172568,0.00217358084440698
"46","Liberal Democrat","Did Not Vote","Did Not Vote",147.572297883941,0.0180897781312497,0.00289216311009572
"47","Liberal Democrat","Green Party","Conservative",9.89623984719027,0.00121310561491762,0.000755363500330852
"48","Liberal Democrat","Green Party","Labour",35.3363575607433,0.00433161831459098,0.00142512421750861
"49","Liberal Democrat","Green Party","Wasted",42.8619860523895,0.0052541285124003,0.00156883290541965
"50","Liberal Democrat","Labour","Labour",254.464772752925,0.031192922705178,0.00377239323617674
"51","Liberal Democrat","Liberal Democrat","Conservative",16.3034297548198,0.00199851483830014,0.000969146772835936
"52","Liberal Democrat","Liberal Democrat","Labour",52.182109840879,0.00639661239255342,0.00173002277683355
"53","Liberal Democrat","Liberal Democrat","Wasted",66.2419282735444,0.00812009979269269,0.0019475136025631
"54","Liberal Democrat","Other","Conservative",10.8138947819422,0.00132559403184099,0.000789564296463249
"55","Liberal Democrat","Other","Labour",13.3954722933864,0.00164205020336023,0.000878631212985315
"56","Liberal Democrat","Other","Wasted",22.8838876225911,0.00280516367779737,0.00114772908007752
"57","Other","Conservative","Conservative",72.405326694631,0.00887562445125454,0.0020353251972364
"58","Other","Did Not Vote","Did Not Vote",110.048526020705,0.0134900211484899,0.00250338316996143
"59","Other","Green Party","Conservative",1.44036722746963,0.000176563785656714,0.000288325294171423
"60","Other","Green Party","Labour",5.86773775835473,0.000719281841531482,0.00058178641175061
"61","Other","Green Party","Wasted",15.0031182113826,0.0018391194256138,0.000929769959140923
"62","Other","Labour","Labour",62.4102728904737,0.00765040597651542,0.00189079680945937
"63","Other","Liberal Democrat","Conservative",4.44325689963065,0.000544665446340587,0.000506310435889444
"64","Other","Liberal Democrat","Labour",3.27286335008665,0.000401195703434316,0.000434571531185644
"65","Other","Liberal Democrat","Wasted",4.29039242911669,0.00052592694056816,0.000497529397543782
"66","Other","Other","Conservative",9.98996119872562,0.00122459421053987,0.000758927504242197
"67","Other","Other","Labour",0.87295448001704,0.000107008924361997,0.000224469341731635
"68","Other","Other","Wasted",39.0158477146804,0.00478265933973776,0.00149714533997527
