"","vote2019","vote2021","vote2021_2","n","pct","moe"
"1","Conservative","Conservative","Conservative",584.329580750609,0.169574006923585,0.0125295907163449
"2","Conservative","Did Not Vote","Did Not Vote",130.781238400412,0.0379530651135248,0.00638011246497972
"3","Conservative","Green Party","Conservative",3.51676447363557,0.00102057445463371,0.00106612320222799
"4","Conservative","Green Party","Labour",1.04725395457746,0.000303915898141161,0.000581992625088149
"5","Conservative","Green Party","Wasted",14.5241577309057,0.0042149494134048,0.00216314564111332
"6","Conservative","Labour","Labour",39.0345314279274,0.0113279254048981,0.00353352444723439
"7","Conservative","Liberal Democrat","Conservative",9.29603956515991,0.00269773554089013,0.00173188824983674
"8","Conservative","Liberal Democrat","Labour",3.39770796148509,0.000986023936431688,0.00104793968526984
"9","Conservative","Liberal Democrat","Wasted",8.50846915806872,0.00246918050266438,0.00165709099436363
"10","Conservative","Other","Conservative",56.9894253975246,0.0165384836491027,0.00425827108618295
"11","Conservative","Other","Labour",1.05019325734527,0.00030476889166454,0.000582808536603156
"12","Conservative","Other","Wasted",38.213445319941,0.0110896440206462,0.00349658460870803
"13","Did Not Vote","Conservative","Conservative",55.0211225960397,0.0159672769125586,0.00418530368007194
"14","Did Not Vote","Did Not Vote","Did Not Vote",458.057909679601,0.13292963030835,0.0113356087440029
"15","Did Not Vote","Green Party","Labour",16.4476466801503,0.00477315105018937,0.00230128500351124
"16","Did Not Vote","Green Party","Wasted",9.99546371179083,0.00290071029861326,0.00179567674467298
"17","Did Not Vote","Labour","Labour",69.8687283812576,0.0202760918162761,0.00470598733558282
"18","Did Not Vote","Liberal Democrat","Labour",3.33393073485363,0.000967515614712842,0.00103806744851073
"19","Did Not Vote","Liberal Democrat","Wasted",7.08404370207609,0.00205580842619626,0.0015123462181609
"20","Did Not Vote","Other","Conservative",5.53969907002911,0.00160763548415432,0.00133767679587863
"21","Did Not Vote","Other","Labour",8.83300658959109,0.00256336213315662,0.0016883186462836
"22","Did Not Vote","Other","Wasted",18.4562813053207,0.00535606218982063,0.00243704417735526
"23","Green Party","Conservative","Conservative",4.13886578610602,0.00120110991910998,0.00115647747592529
"24","Green Party","Did Not Vote","Did Not Vote",15.7918221158515,0.00458282900785122,0.0022551538066836
"25","Green Party","Green Party","Conservative",2.86348609379742,0.000830991321834921,0.000962109489245845
"26","Green Party","Green Party","Labour",20.3481040440799,0.00590507420764192,0.00255819346228634
"27","Green Party","Green Party","Wasted",17.6773739746107,0.00513002119952717,0.00238533576104906
"28","Green Party","Labour","Labour",11.5391018199446,0.00334867820553205,0.001928923960154
"29","Green Party","Liberal Democrat","Labour",1.2243390660633,0.00035530647104796,0.000629261509058969
"30","Green Party","Liberal Democrat","Wasted",0.825817902097849,0.000239654563556537,0.000516829841297728
"31","Green Party","Other","Conservative",0.775108338650119,0.000224938512638609,0.000500714116679804
"32","Green Party","Other","Labour",0.972817771628318,0.00028231431879519,0.000560934196437152
"33","Green Party","Other","Wasted",10.0215922450917,0.00290829286884901,0.00179801536087896
"34","Labour","Conservative","Conservative",63.1188992096649,0.0183172733405686,0.00447736772352639
"35","Labour","Did Not Vote","Did Not Vote",261.801250813252,0.0759754230839756,0.00884677742997994
"36","Labour","Green Party","Conservative",2.60226010489109,0.000755182841294675,0.000917210009228716
"37","Labour","Green Party","Labour",90.361512187525,0.0262231524778014,0.00533554698632936
"38","Labour","Green Party","Wasted",38.0661618213642,0.0110469019554999,0.00348991519559805
"39","Labour","Labour","Labour",720.545487869015,0.209104227432236,0.0135783753552521
"40","Labour","Liberal Democrat","Conservative",1.58327594522761,0.000459470913235454,0.000715543420063773
"41","Labour","Liberal Democrat","Labour",10.2124478706899,0.00296367968177576,0.00181500529917039
"42","Labour","Liberal Democrat","Wasted",8.72815006255386,0.00253293248860747,0.0016782933222764
"43","Labour","Other","Labour",50.4858385140578,0.0146511253439002,0.00401178158732117
"44","Labour","Other","Wasted",49.987605715237,0.0145065368533291,0.00399222971778277
"45","Liberal Democrat","Conservative","Conservative",44.3308241021798,0.0128649237020908,0.00376269205081191
"46","Liberal Democrat","Did Not Vote","Did Not Vote",67.448730610587,0.0195738019917705,0.00462542693958855
"47","Liberal Democrat","Green Party","Conservative",6.00083682631663,0.00174145889418428,0.00139214639656406
"48","Liberal Democrat","Green Party","Labour",24.9958659169625,0.00725386713200311,0.00283341818296487
"49","Liberal Democrat","Green Party","Wasted",29.3869093643346,0.00852815968277549,0.00307025629253361
"50","Liberal Democrat","Labour","Labour",134.705780748525,0.0390919777977945,0.00647129961445987
"51","Liberal Democrat","Liberal Democrat","Conservative",6.89656837041982,0.00200140258361091,0.00149224100561442
"52","Liberal Democrat","Liberal Democrat","Labour",14.8312718341604,0.00430407474744102,0.0021857980983634
"53","Liberal Democrat","Liberal Democrat","Wasted",47.6467456993586,0.0138272130168911,0.00389897643365316
"54","Liberal Democrat","Other","Conservative",9.72679192805719,0.0028227410285029,0.00177144828044818
"55","Liberal Democrat","Other","Labour",11.4114671513582,0.00331163828339297,0.00191826197121487
"56","Liberal Democrat","Other","Wasted",17.2943278765744,0.00501886019755116,0.00235948244195113
"57","Other","Conservative","Conservative",21.4323208977934,0.00621971683795701,0.00262504813259648
"58","Other","Did Not Vote","Did Not Vote",31.422221331427,0.00911881265837195,0.0031738523167422
"59","Other","Green Party","Conservative",0.842801530085641,0.000244583257815502,0.00052211602388111
"60","Other","Green Party","Labour",4.41269617115996,0.00128057622911841,0.00119407400140567
"61","Other","Green Party","Wasted",10.3138017637777,0.00299309285258617,0.0018239627087123
